Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
Mon, 18 Feb 2019 13:00:00 +0100;Darksiders 3;[Distortion2](https://www.twitch.tv/distortion2);PC;All Sins;;382689966;0:35:27;ESA 2019 Winter - Stream One;
Mon, 18 Feb 2019 14:00:00 +0100;Horizon Zero Dawn;[ElkjaerTV](https://www.twitch.tv/elkjaertv);PS4;TFW NG+ (Ultra Hard);;382713788?t=32s;1:11:40;ESA 2019 Winter - Stream One;
Mon, 18 Feb 2019 15:20:00 +0100;Kingdom Hearts Birth by Sleep Final Mix HD;[RebelDragon95](https://www.twitch.tv/rebeldragon95);PS4;Ventus Critical Level 1 Any%;;382737789?t=24s;0:53:35;ESA 2019 Winter - Stream One;
Mon, 18 Feb 2019 16:30:00 +0100;Crash Bandicoot: N. Sane Trilogy;[triggerino1](https://www.twitch.tv/triggerino1);PC;Crash 1 Any%;;382762922?t=23s;0:53:01;ESA 2019 Winter - Stream One;
Mon, 18 Feb 2019 17:40:00 +0100;Total Overdose;[Tezur0](https://www.twitch.tv/tezur0);PC;Any%;;382794468?t=24s;0:58:07;ESA 2019 Winter - Stream One;
Mon, 18 Feb 2019 18:50:00 +0100;Call of Duty: Modern Warfare 2;[The__VK](https://www.twitch.tv/the__vk);PC;Any%;;382852162?t=23s;1:34:19;ESA 2019 Winter - Stream One;
Mon, 18 Feb 2019 20:40:00 +0100;Grand Theft Auto: Vice City;[English_Ben](https://www.twitch.tv/english_ben);PC;Any% no SSU;;382894386?t=24s;0:59:15;ESA 2019 Winter - Stream One;
Mon, 18 Feb 2019 21:45:00 +0100;Grand Theft Auto: Vice City;[gaeldemarseille](https://www.twitch.tv/gaeldemarseille);PC;ACE Showcase;;382926053?t=23s;0:14:14;ESA 2019 Winter - Stream One;
Mon, 18 Feb 2019 22:10:00 +0100;Resident Evil 2 (2019);[Distortion2](https://www.twitch.tv/distortion2);PC;Claire B;;382963798?t=23s;1:04:17;ESA 2019 Winter - Stream One;
Mon, 18 Feb 2019 23:40:00 +0100;The Stalin Subway: Red Veil;[Tezur0](https://www.twitch.tv/tezur0);PC;All Chapters, Easy;;382972162?t=31s;0:09:37;ESA 2019 Winter - Stream One;
Mon, 18 Feb 2019 23:55:00 +0100;The Slater;[Truljin](https://www.twitch.tv/truljin);PC;Any% Glitchless;;382987901?t=24s;0:23:56;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 00:35:00 +0100;The Haunted Island, A Frog Detective Game;[Makkebakke](https://www.twitch.tv/makkebakke);PC;Any%;;383003327?t=23s;0:08:59;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 00:55:00 +0100;The Evil Within 2;[StevieBlu](https://www.twitch.tv/stevieblu_);PC;Any% No Major Skips N;;383089884?t=23s;2:37:42;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 03:55:00 +0100;Brütal Legend;[Makkebakke](https://www.twitch.tv/makkebakke)|[SimpleUnit](https://www.twitch.tv/simpleunit);PC;L.A. Noire %;Co-Op;383128491?t=24s;1:29:58;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 05:35:00 +0100;The Lord of the Rings: The Battle for Middle-earth;[eidgod](https://www.twitch.tv/eidgod);PC;Evil Campaign;;383152384?t=23s;1:14:26;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 06:55:00 +0100;Castle Crashers;[thatchbro](https://www.twitch.tv/thatchbro);PC;Any%;;383167733?t=22s;0:44:05;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 08:20:00 +0100;Ninja Smasher!;[KennyMan666](https://www.twitch.tv/kennyman666);PC;Kunoichi All Items No KG;;383175037?t=24s;0:29:23;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 09:05:00 +0100;PewDiePie: Legend of the Brofist;[Ryedwag](https://www.twitch.tv/ryedwag);PC;Any%;;383184243?t=24s;0:41:46;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 09:57:00 +0100;Blossom Tales: The Sleeping King;[Wiredwicky](https://www.twitch.tv/wiredwicky);PC;All Bosses;;383196478?t=23s;0:53:44;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 11:07:00 +0100;FAR: Lone Sails;[SoberCorewin](https://www.twitch.tv/sobercorewin);PC;Any% Pre-Patch;;383213105?t=23s;1:00:33;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 12:22:00 +0100;LEGO Star Wars: The Complete Saga (DS);[LaserTrap_](https://www.twitch.tv/lasertrap_);DS;Free Play RTA;;383229158?t=24s;0:52:26;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 13:25:00 +0100;XCOM 2;[Tricr0w](https://www.twitch.tv/tricr0w);PC;Any% Normal With DLC;;;0:00:00;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 15:20:00 +0100;Fortix;[Tezur0](https://www.twitch.tv/tezur0);PC;Any%;;383270802;0:17:46;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 15:52:00 +0100;Tetris Attack;[Wiredwicky](https://www.twitch.tv/wiredwicky);SNES;V-Hard;;383279138?t=23s;0:11:08;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 16:14:00 +0100;Q.U.B.E. 2;[eTholon](https://www.twitch.tv/etholon)|[Fatzke](https://www.twitch.tv/fatzke);PC;Lost Orbit DLC (All Chambers);Race;383290216?t=23s;0:14:49;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 16:44:00 +0100;Impulsion;[SBVille](https://www.twitch.tv/sbville);PC;Any%;;383302103?t=23s;0:19:33;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 17:19:00 +0100;Tony Hawk's Underground 2;[Ryedwag](https://www.twitch.tv/ryedwag);PC;Story - Easy (NG);;383311926?t=23s;0:14:11;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 17:49:00 +0100;Tony Hawk's American Wasteland;[English_Ben](https://www.twitch.tv/english_ben);PC;Easy NG;;383376513?t=22s;0:59:27;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 19:04:00 +0100;Distance;[Brionac95](https://www.twitch.tv/brionac95);PC;Adventure - Campaign+;;383831763;0:36:37;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 19:44:00 +0100;Distance;[Brionac95](https://www.twitch.tv/brionac95);PC;Lost to Echoes - Default;;383831761?t=14s;0:17:08;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 20:14:00 +0100;Sonic the Hedgehog (2006);[RebelDragon95](https://www.twitch.tv/rebeldragon95);Xbox 360;Sonic's Story (No MSG);;383416405?t=23s;1:11:40;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 21:34:00 +0100;Mega Man 11;[Samura1man](https://www.twitch.tv/samura1man);Switch;Any%, Normal;;383438644?t=23s;0:39:16;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 22:29:00 +0100;The Lucky Dime Caper Starring Donald Duck;[KrazyRasmus](https://www.twitch.tv/krazyrasmus);SMS;Any%;;383451098?t=22s;0:18:04;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 22:49:00 +0100;Mickey Mania: The Timeless Adventures of Mickey Mouse;[linkboss](https://www.twitch.tv/linkboss);Genesis;Any%;;383465763?t=23s;0:20:19;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 23:11:00 +0100;Streets of Rage;[TitansofCoOp](https://www.twitch.tv/titansofcoop);Genesis;2-Players Glitchless Easy;Co-Op;383479779?t=23s;0:26:47;ESA 2019 Winter - Stream One;
Tue, 19 Feb 2019 23:56:00 +0100;Darkest Dungeon;[Tricr0w](https://www.twitch.tv/tricr0w);PC;Boss% Necromancer;;383499977?t=23s;0:31:07;ESA 2019 Winter - Stream One;
Wed, 20 Feb 2019 00:36:00 +0100;Super Amazing Wagon Adventure;[KennyMan666](https://www.twitch.tv/kennyman666);Xbox 360;Any%;;;0:00:00;ESA 2019 Winter - Stream One;
Wed, 20 Feb 2019 01:01:00 +0100;Sonic the Hedgehog 2;[linkboss](https://www.twitch.tv/linkboss);Genesis;Sonic, Any%;;383543292?t=23s;0:27:12;ESA 2019 Winter - Stream One;
Wed, 20 Feb 2019 01:51:00 +0100;Dungeons & Dragons 5e;[Zephyyr & Friends](https://www.twitch.tv/esamarathon);Paper;TPK%;;383667838?t=23s;4:22:48;ESA 2019 Winter - Stream One;
Wed, 20 Feb 2019 07:01:00 +0100;Danger Zone;[Makkebakke](https://www.twitch.tv/makkebakke);PC;Any%;;383682208?t=23s;1:00:33;ESA 2019 Winter - Stream One;
Wed, 20 Feb 2019 08:11:00 +0100;Grand Theft Auto II;[Tezur0](https://www.twitch.tv/tezur0)|[WordofWind](https://www.twitch.tv/wordofwind);PC;All Missions, Downtown;Race;383699608?t=23s;0:56:04;ESA 2019 Winter - Stream One;
Wed, 20 Feb 2019 09:26:00 +0100;Grand Theft Auto: Vice City Stories;[Joshimuz](https://www.twitch.tv/joshimuz);PSP;Any%;;383751187?t=11s;4:04:55;ESA 2019 Winter - Stream One;
Wed, 20 Feb 2019 13:51:00 +0100;Grand Theft Auto: Chinatown Wars;[Joshimuz](https://www.twitch.tv/joshimuz);PSP;Any%;;383755935?t=22s;0:06:30;ESA 2019 Winter - Stream One;
Wed, 20 Feb 2019 14:06:00 +0100;Tomb Raider III: Adventures of Lara Croft;[eidgod](https://www.twitch.tv/eidgod);PC;Any%;;383783833?t=22s;1:19:53;ESA 2019 Winter - Stream One;
